time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,35,9,0,0
2026-04-11 00:00:00+00:00,27,5,2,2
2026-04-12 00:00:00+00:00,23,5,6,6
2026-04-13 00:00:00+00:00,37,8,3,3
2026-04-14 00:00:00+00:00,15,7,1,1
2026-04-15 00:00:00+00:00,42,9,3,3
2026-04-16 00:00:00+00:00,22,4,5,1
2026-04-17 00:00:00+00:00,61,17,0,0
2026-04-18 00:00:00+00:00,33,10,0,0
2026-04-19 00:00:00+00:00,42,19,0,0
2026-04-20 00:00:00+00:00,59,22,1,1
2026-04-21 00:00:00+00:00,68,25,0,0
2026-04-22 00:00:00+00:00,112,34,3,2
2026-04-23 00:00:00+00:00,108,36,0,0
