time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-05 00:00:00+00:00,4,4,4.0,1.0
2024-02-06 00:00:00+00:00,4,4,7.0,1.0
2024-02-07 00:00:00+00:00,3,3,4.0,1.0
2024-02-08 00:00:00+00:00,3,3,,
2024-02-09 00:00:00+00:00,4,4,8.0,1.0
2024-02-10 00:00:00+00:00,3,3,,
2024-02-11 00:00:00+00:00,3,3,2.0,1.0
2024-02-12 00:00:00+00:00,3,3,,
2024-02-13 00:00:00+00:00,3,3,,
2024-02-14 00:00:00+00:00,4,4,,
2024-02-15 00:00:00+00:00,3,3,1.0,1.0
2024-02-16 00:00:00+00:00,3,3,,
2024-02-17 00:00:00+00:00,3,3,,
2024-02-18 00:00:00+00:00,1,1,14.0,1.0
